success_rate,risk_reward_ratio,target_hits,stoploss_hits,target,stoploss
0.87,0.5,13,2,20,40
0.8,0.67,12,3,20,30
0.79,0.45,11,3,45,100
0.77,0.7,10,3,70,100
0.73,0.83,11,4,25,30
0.71,0.78,10,4,70,90
0.69,0.85,9,4,85,100
0.67,1.0,10,5,25,25
0.64,0.94,9,5,85,90
0.6,1.2,9,6,30,25
0.58,1.0,7,5,90,90
0.57,1.06,8,6,85,80
0.55,1.11,6,5,100,90
0.53,2.0,8,7,70,35
0.5,1.12,6,6,90,80
0.47,2.5,7,8,25,10
0.46,1.5,6,7,90,60
0.45,1.25,5,6,100,80
0.42,1.67,5,7,100,60
0.4,3.0,6,9,30,10
0.38,2.57,5,8,90,35
0.33,3.5,5,10,35,10
0.31,3.33,4,9,100,30
0.27,8.5,4,11,85,10
0.23,4.0,3,10,100,25
0.21,10.0,3,11,100,10
